ProductKey,ProductLabel,ProductName,Manufacturer,BrandName,ClassName,ColorName,StockTypeName,UnitCost,UnitPrice,AvailableForSaleDate,Status
49,104004,WWI Lápiz inteligente de pulsos de 2 GB M100 Blanco,Wide World Importers,Wide World Importers,Normal,Blanco,Alto,91.95,199.95,2007-03-02,Activad
50,104005,WWI Lápiz inteligente de pulsos de 2 GB M100 Negro,Wide World Importers,Wide World Importers,Normal,Negro,Alto,91.95,199.95,2007-03-02,Activad
51,104006,WWI Lápiz inteligente de pulsos de 2 GB M100 Azul,Wide World Importers,Wide World Importers,Normal,Azul,Alto,91.95,199.95,2007-03-02,Activad
52,104007,WWI Lápiz inteligente de pulsos de 2 GB M100 Plata,Wide World Importers,Wide World Importers,Normal,Plata,Alto,91.95,199.95,2007-03-02,Activad
53,104008,WWI Lápiz de grabación de vídeo de 4 GB  X200 Negro,Wide World Importers,Wide World Importers,Deluxe,Negro,Alto,98.07,296.0,2008-06-07,Activad
54,104009,WWI Lápiz de grabación de vídeo de 4 GB  X200 Red,Wide World Importers,Wide World Importers,Deluxe,Red,Alto,98.07,296.0,2008-06-07,Activad
55,104010,WWI Lápiz de grabación de vídeo de 4 GB  X200 Rosa,Wide World Importers,Wide World Importers,Deluxe,Rosa,Alto,98.07,296.0,2008-06-07,Activad
56,104011,WWI Lápiz de grabación de vídeo de 4 GB  X200 Amarillo,Wide World Importers,Wide World Importers,Deluxe,Amarillo,Alto,98.07,296.0,2008-06-07,Activad
57,104012,WWI Lápiz de grabadora de voz digital de 1 GB E100 Negro,Wide World Importers,Wide World Importers,Economía,Negro,Alto,79.53,156.0,2008-01-21,Activad
58,104013,WWI Lápiz de grabadora de voz digital de 1 GB E100 Red,Wide World Importers,Wide World Importers,Economía,Red,Alto,79.53,156.0,2008-01-21,Activad
59,104014,WWI Lápiz de grabadora de voz digital de 1 GB E100 Rosa,Wide World Importers,Wide World Importers,Economía,Rosa,Alto,79.53,156.0,2008-01-21,Activad
60,104015,WWI Lápiz de grabadora de voz digital de 1 GB E100 Blanco,Wide World Importers,Wide World Importers,Economía,Blanco,Alto,79.53,156.0,2008-01-21,Activad
61,104016,WWI Lápiz de grabadora de vídeo espía de 2 GB M300 Negro,Wide World Importers,Wide World Importers,Normal,Negro,Alto,83.24,181.0,2009-02-11,Activad
62,104017,WWI Lápiz de grabadora de vídeo espía de 2 GB M300 Blanco,Wide World Importers,Wide World Importers,Normal,Blanco,Alto,83.24,181.0,2009-02-11,Activad
63,104018,WWI Lápiz de grabadora de vídeo espía de 2 GB M300 Azul,Wide World Importers,Wide World Importers,Normal,Azul,Alto,83.24,181.0,2009-02-11,Activad
64,104019,WWI Lápiz de grabadora de vídeo espía de 2 GB M300 Plata,Wide World Importers,Wide World Importers,Normal,Plata,Alto,83.24,181.0,2009-02-11,Activad
65,104020,WWI Lápiz de grabadora de vídeo espía de 2 GB M300 Púrpura,Wide World Importers,Wide World Importers,Normal,Púrpura,Alto,83.24,181.0,2009-02-11,Activad
66,106001,NT Auricular estéreo Bluetooth E52 Azul,Northwind Traders,Northwind Traders,Economía,Azul,Medio,13.1,25.69,2005-04-01,Activad
67,106002,NT Auricular estéreo Bluetooth E52 Negro,Northwind Traders,Northwind Traders,Economía,Negro,Medio,13.1,25.69,2005-04-01,Activad
68,106003,NT Auricular estéreo Bluetooth E52 Amarillo,Northwind Traders,Northwind Traders,Economía,Amarillo,Medio,13.1,25.69,2005-04-01,Activad
69,106004,NT Auricular estéreo Bluetooth E52 Rosa,Northwind Traders,Northwind Traders,Economía,Rosa,Medio,13.1,25.69,2005-04-01,Activad
70,106005,NT Auriculares estéreo Bluetooth inalámbricos E102 Plata,Northwind Traders,Northwind Traders,Economía,Plata,Medio,22.05,47.95,2007-02-12,Activad
71,106006,NT Auriculares estéreo Bluetooth inalámbricos E102 Negro,Northwind Traders,Northwind Traders,Economía,Negro,Medio,22.05,47.95,2007-02-12,Activad
72,106007,NT Auriculares estéreo Bluetooth inalámbricos E102 Azul,Northwind Traders,Northwind Traders,Economía,Azul,Medio,22.05,47.95,2007-02-12,Activad
73,106008,NT Auriculares estéreo Bluetooth inalámbricos E102 Blanco,Northwind Traders,Northwind Traders,Economía,Blanco,Medio,22.05,47.95,2007-02-12,Activad
74,106009,NT Auriculares activos Bluetooth E202 Negro,Northwind Traders,Northwind Traders,Economía,Negro,Medio,17.45,37.95,2008-04-05,Activad
75,106010,NT Auriculares activos Bluetooth E202 Blanco,Northwind Traders,Northwind Traders,Economía,Blanco,Medio,17.45,37.95,2007-05-14,Activad
76,106011,NT Auriculares activos Bluetooth E202 Red,Northwind Traders,Northwind Traders,Economía,Red,Medio,17.45,37.95,2007-05-14,Activad
77,106012,NT Auriculares activos Bluetooth E202 Plata,Northwind Traders,Northwind Traders,Economía,Plata,Medio,17.45,37.95,2007-05-14,Activad
78,106013,NT Auriculares estéreo Bluetooth inalámbricos E302 Plata,Northwind Traders,Northwind Traders,Economía,Plata,Medio,18.65,40.55,2007-07-19,Activad
79,106014,NT Auriculares estéreo Bluetooth inalámbricos E302 Blanco,Northwind Traders,Northwind Traders,Economía,Blanco,Medio,18.65,40.55,2007-07-19,Activad
80,106015,NT Auriculares estéreo Bluetooth inalámbricos E302 Amarillo,Northwind Traders,Northwind Traders,Economía,Amarillo,Medio,18.65,40.55,2007-07-19,Activad
81,106016,NT Auriculares estéreo Bluetooth inalámbricos E302 Negro,Northwind Traders,Northwind Traders,Economía,Negro,Medio,18.65,40.55,2007-07-19,Activad
82,106017,NT Auriculares estéreo Bluetooth inalámbricos E302 Rosa,Northwind Traders,Northwind Traders,Economía,Rosa,Medio,18.65,40.55,2007-07-19,Activad
83,106018,NT Auriculares estéreo Bluetooth inalámbricos M402 Plata,Northwind Traders,Northwind Traders,Normal,Plata,Medio,45.98,99.99,2008-06-05,Activad
84,106019,NT Auriculares estéreo Bluetooth inalámbricos M402 Red,Northwind Traders,Northwind Traders,Normal,Red,Medio,45.98,99.99,2008-06-05,Activad
85,106020,NT Auriculares estéreo Bluetooth inalámbricos M402 Verde,Northwind Traders,Northwind Traders,Normal,Verde,Medio,45.98,99.99,2008-06-05,Activad
86,106021,NT Auriculares estéreo Bluetooth inalámbricos M402 Negro,Northwind Traders,Northwind Traders,Normal,Negro,Medio,45.98,99.99,2008-06-05,Activad
87,106022,NT Auriculares estéreo Bluetooth inalámbricos M402 Púrpura,Northwind Traders,Northwind Traders,Normal,Púrpura,Medio,45.98,99.99,2008-06-05,Activad
88,106023,NT Transmisor inalámbrico y auriculares Bluetooth M150 Negro,Northwind Traders,Northwind Traders,Normal,Negro,Medio,49.69,149.99,2008-08-17,Activad
89,106024,NT Transmisor inalámbrico y auriculares Bluetooth M150 Azul,Northwind Traders,Northwind Traders,Normal,Azul,Medio,49.69,149.99,2008-08-17,Activad
90,106025,NT Transmisor inalámbrico y auriculares Bluetooth M150 Plata,Northwind Traders,Northwind Traders,Normal,Plata,Medio,49.69,149.99,2008-08-17,Activad
91,106026,NT Transmisor inalámbrico y auriculares Bluetooth M150 Verde,Northwind Traders,Northwind Traders,Normal,Verde,Medio,49.69,149.99,2008-08-17,Activad
92,106027,NT Transmisor inalámbrico y auriculares Bluetooth M150 Red,Northwind Traders,Northwind Traders,Normal,Red,Medio,49.69,149.99,2008-08-17,Activad
93,106028,WWI Auriculares estéreo Bluetooth  E1000 Azul,Wide World Importers,Wide World Importers,Economía,Azul,Medio,34.36,67.4,2007-03-03,Activad
94,106029,WWI Auriculares estéreo Bluetooth  E1000 Negro,Wide World Importers,Wide World Importers,Economía,Negro,Medio,34.36,67.4,2007-03-03,Activad
95,106030,WWI Auriculares estéreo Bluetooth  E1000 Plata,Wide World Importers,Wide World Importers,Economía,Plata,Medio,34.36,67.4,2007-03-03,Activad
96,106031,WWI Auriculares estéreo Bluetooth  E1000 Blanco,Wide World Importers,Wide World Importers,Economía,Blanco,Medio,34.36,67.4,2007-03-03,Activad
97,106032,WWI Auriculares estéreo Bluetooth  E1000 Verde,Wide World Importers,Wide World Importers,Economía,Verde,Medio,34.36,67.4,2007-03-03,Activad
98,106033,WWI Auriculares estéreo Bluetooth inalámbricos M170 Plata,Wide World Importers,Wide World Importers,Normal,Plata,Medio,55.18,120.0,2009-01-28,Activad
99,106034,WWI Auriculares estéreo Bluetooth inalámbricos M170 Negro,Wide World Importers,Wide World Importers,Normal,Negro,Medio,55.18,120.0,2009-01-28,Activad
100,106035,WWI Auriculares estéreo Bluetooth inalámbricos M170 Blanco,Wide World Importers,Wide World Importers,Normal,Blanco,Medio,55.18,120.0,2009-01-28,Activad
101,106036,WWI Auriculares estéreo Bluetooth inalámbricos M170 Rosa,Wide World Importers,Wide World Importers,Normal,Rosa,Medio,55.18,120.0,2009-01-28,Activad
102,106037,WWI Auriculares estéreo Bluetooth inalámbricos M270 Plata,Wide World Importers,Wide World Importers,Normal,Plata,Medio,52.88,115.0,2008-07-19,Activad
103,106038,WWI Auriculares estéreo Bluetooth inalámbricos M270 Negro,Wide World Importers,Wide World Importers,Normal,Negro,Medio,52.88,115.0,2008-07-19,Activad
104,106039,WWI Auriculares estéreo Bluetooth inalámbricos M270 Blanco,Wide World Importers,Wide World Importers,Normal,Blanco,Medio,52.88,115.0,2008-07-19,Activad
105,106040,WWI Auriculares estéreo Bluetooth inalámbricos M270 Rosa,Wide World Importers,Wide World Importers,Normal,Rosa,Medio,52.88,115.0,2008-07-19,Activad
106,106041,WWI Auriculares estéreo Bluetooth Bluetooth de nueva generación M370 Negro,Wide World Importers,Wide World Importers,Normal,Negro,Medio,61.16,132.99,2009-04-02,Activad
107,106042,WWI Auriculares estéreo Bluetooth Bluetooth de nueva generación M370 Blanco,Wide World Importers,Wide World Importers,Normal,Blanco,Medio,61.16,132.99,2009-04-02,Activad
108,106043,WWI Auriculares estéreo Bluetooth Bluetooth de nueva generación M370 Amarillo,Wide World Importers,Wide World Importers,Normal,Amarillo,Medio,61.16,132.99,2009-04-02,Activad
109,106044,WWI Auriculares estéreo Bluetooth Bluetooth de nueva generación M370 Naranja,Wide World Importers,Wide World Importers,Normal,Naranja,Medio,61.16,132.99,2009-04-02,Activad
110,106045,WWI Auriculares estéreo Bluetooth Bluetooth de nueva generación M370 Azul,Wide World Importers,Wide World Importers,Normal,Azul,Medio,61.16,132.99,2009-04-02,Activad
111,106046,WWI Transmisor inalámbrico y auriculares Bluetooth X250 Negro,Wide World Importers,Wide World Importers,Deluxe,Negro,Medio,82.83,249.99,2008-06-17,Activad
112,106047,WWI Transmisor inalámbrico y auriculares Bluetooth X250 Azul,Wide World Importers,Wide World Importers,Deluxe,Azul,Medio,82.83,249.99,2008-06-17,Activad
113,106048,WWI Transmisor inalámbrico y auriculares Bluetooth X250 Blanco,Wide World Importers,Wide World Importers,Deluxe,Blanco,Medio,82.83,249.99,2008-06-17,Activad
114,106049,WWI Transmisor inalámbrico y auriculares Bluetooth X250 Red,Wide World Importers,Wide World Importers,Deluxe,Red,Medio,82.83,249.99,2008-06-17,Activad
115,106050,WWI Transmisor inalámbrico y auriculares Bluetooth X250 Plata,Wide World Importers,Wide World Importers,Deluxe,Plata,Medio,82.83,249.99,2008-06-17,Activad
116,201001,Adventure Works  TV CRT de 20 pulgadas E15 Plata,Adventure Works,Adventure Works ,Economía,Plata,Medio,86.67,169.99,2006-02-15,Activad
117,201002,Adventure Works TV CRT de 20 pulgadas E15 Negro,Adventure Works,Adventure Works,Economía,Negro,Medio,86.67,169.99,2006-02-15,Activad
118,201003,Adventure Works TV CRT de 20 pulgadas E15 Blanco,Adventure Works,Adventure Works,Economía,Blanco,Alto,86.67,169.99,2006-02-15,Activad
119,201004,Adventure Works TV en color de 13 pulgadas E25 Plata,Adventure Works,Adventure Works,Economía,Plata,Alto,61.17,119.99,2005-06-28,Activad
120,201005,Adventure Works TV en color de 13 pulgadas E25 Negro,Adventure Works,Adventure Works,Economía,Negro,Alto,61.17,119.99,2005-06-28,Activad
121,201006,Adventure Works TV en color de 13 pulgadas E25 Blanco,Adventure Works,Adventure Works,Economía,Blanco,Alto,61.17,119.99,2005-06-28,Activad
122,201007,Adventure Works HDTV LCD portátil de 19 pulgadas M110 Plata,Adventure Works,Adventure Works,Normal,Plata,Alto,128.76,279.99,2006-03-21,Activad
123,201008,Adventure Works HDTV LCD portátil de 19 pulgadas M110 Negro,Adventure Works,Adventure Works,Normal,Negro,Alto,128.76,279.99,2006-03-21,Activad
124,201009,Adventure Works HDTV LCD portátil de 19 pulgadas M110 Blanco,Adventure Works,Adventure Works,Normal,Blanco,Alto,128.76,279.99,2006-03-21,Activad
125,201010,Adventure Works TV digital en color de 19 pulgadas E35 Plata,Adventure Works,Adventure Works,Economía,Plata,Alto,73.11,143.4,2006-04-12,Activad
126,201011,Adventure Works TV digital en color de 19 pulgadas E35 Negro,Adventure Works,Adventure Works,Economía,Negro,Alto,73.11,143.4,2006-04-12,Activad
127,201012,Adventure Works TV digital en color de 19 pulgadas E35 Blanco,Adventure Works,Adventure Works,Economía,Blanco,Alto,73.11,143.4,2006-04-12,Activad
128,201013,Adventure Works TV digital en color de 19 pulgadas E35 Marrón,Adventure Works,Adventure Works,Economía,Marrón,Alto,73.11,143.4,2006-04-12,Activad
129,201014,Adventure Works TV CRT analógica de 20 pulgadas E45 Plata,Adventure Works,Adventure Works,Economía,Plata,Alto,101.97,200.0,2007-03-21,Activad
130,201015,Adventure Works TV CRT analógica de 20 pulgadas E45 Negro,Adventure Works,Adventure Works,Economía,Negro,Alto,101.97,200.0,2007-03-21,Activad
131,201016,Adventure Works TV CRT analógica de 20 pulgadas E45 Blanco,Adventure Works,Adventure Works,Economía,Blanco,Alto,101.97,200.0,2007-03-21,Activad
132,201017,Adventure Works TV CRT analógica de 20 pulgadas E45 Marrón,Adventure Works,Adventure Works,Economía,Marrón,Alto,101.97,200.0,2007-03-21,Activad
133,201018,Adventure Works HDTV LCD de 20 pulgadas M120 Plata,Adventure Works,Adventure Works,Normal,Plata,Alto,160.93,349.95,2007-04-03,Activad
134,201019,Adventure Works HDTV LCD de 20 pulgadas M120 Negro,Adventure Works,Adventure Works,Normal,Negro,Alto,160.93,349.95,2007-04-03,Activad
135,201020,Adventure Works HDTV LCD de 20 pulgadas M120 Blanco,Adventure Works,Adventure Works,Normal,Blanco,Alto,160.93,349.95,2007-04-03,Activad
136,201021,Adventure Works HDTV LCD de 20 pulgadas M120 Marrón,Adventure Works,Adventure Works,Normal,Marrón,Alto,160.93,349.95,2007-04-03,Activad
137,201022,Adventure Works HDTV LCD de 32 pulgadas M130 Plata,Adventure Works,Adventure Works,Normal,Plata,Alto,229.93,499.99,2008-01-30,Activad
138,201023,Adventure Works HDTV LCD de 32 pulgadas M130 Negro,Adventure Works,Adventure Works,Normal,Negro,Alto,229.93,499.99,2008-01-30,Activad
139,201024,Adventure Works HDTV LCD de 32 pulgadas M130 Blanco,Adventure Works,Adventure Works,Normal,Blanco,Alto,229.93,499.99,2008-01-30,Activad
140,201025,Adventure Works HDTV LCD de 32 pulgadas M130 Marrón,Adventure Works,Adventure Works,Normal,Marrón,Alto,229.93,499.99,2008-01-30,Activad
141,201026,"Adventure Works TV LCD de 15,6 pulgadas M130W Plata",Adventure Works,Adventure Works,Normal,Plata,Alto,152.94,299.99,2008-02-14,Activad
142,201027,"Adventure Works TV LCD de 15,6 pulgadas M130W Negro",Adventure Works,Adventure Works,Normal,Negro,Alto,152.94,299.99,2008-02-14,Activad
143,201028,"Adventure Works TV LCD de 15,6 pulgadas M130W Blanco",Adventure Works,Adventure Works,Normal,Blanco,Alto,152.94,299.99,2008-02-14,Activad
144,201029,"Adventure Works TV LCD de 15,6 pulgadas M130W Marrón",Adventure Works,Adventure Works,Normal,Marrón,Alto,152.94,299.99,2008-02-14,Activad
145,201030,Adventure Works HDTV LCD de 52 pulgadas X590 Plata,Adventure Works,Adventure Works,Deluxe,Plata,Alto,960.82,2899.99,2009-04-14,Activad
146,201031,Adventure Works HDTV LCD de 52 pulgadas X590 Negro,Adventure Works,Adventure Works,Deluxe,Negro,Alto,960.82,2899.99,2009-04-14,Activad
147,201032,Adventure Works HDTV LCD de 52 pulgadas X590 Blanco,Adventure Works,Adventure Works,Deluxe,Blanco,Alto,960.82,2899.99,2009-04-14,Activad
148,201033,Adventure Works HDTV LCD de 52 pulgadas X590 Marrón,Adventure Works,Adventure Works,Deluxe,Marrón,Alto,960.82,2899.99,2009-04-14,Activad
149,201034,Adventure Works HDTV LCD de 40 pulgadas M690 Plata,Adventure Works,Adventure Works,Normal,Plata,Alto,392.6,1184.97,2008-02-03,Activad
150,201035,Adventure Works HDTV LCD de 40 pulgadas M690 Negro,Adventure Works,Adventure Works,Normal,Negro,Alto,392.6,1184.97,2008-02-03,Activad
151,201036,Adventure Works HDTV LCD de 40 pulgadas M690 Blanco,Adventure Works,Adventure Works,Normal,Blanco,Alto,392.6,1184.97,2008-02-03,Activad
152,201037,Adventure Works HDTV LCD de 40 pulgadas M690 Marrón,Adventure Works,Adventure Works,Normal,Marrón,Alto,392.6,1184.97,2008-02-03,Activad
153,201038,Adventure Works HDTV LCD 720 p de 26 pulgadas M140 Plata,Adventure Works,Adventure Works,Normal,Plata,Alto,216.12,469.97,2006-06-06,Activad
154,201039,Adventure Works HDTV LCD 720 p de 26 pulgadas M140 Negro,Adventure Works,Adventure Works,Normal,Negro,Alto,216.12,469.97,2006-06-06,Activad
155,201040,Adventure Works HDTV LCD 720 p de 26 pulgadas M140 Blanco,Adventure Works,Adventure Works,Normal,Blanco,Alto,216.12,469.97,2006-06-06,Activad
156,201041,Adventure Works HDTV LCD 720 p de 26 pulgadas M140 Marrón,Adventure Works,Adventure Works,Normal,Marrón,Alto,216.12,469.97,2006-06-06,Activad
157,201042,Adventure Works HDTV LCD 1080 p de 37 pulgadas M150W Plata,Adventure Works,Adventure Works,Normal,Plata,Alto,505.85,1099.99,2009-01-25,Activad
158,201043,Adventure Works HDTV LCD 1080 p de 37 pulgadas M150W Negro,Adventure Works,Adventure Works,Normal,Negro,Alto,505.85,1099.99,2009-01-25,Activad
159,201044,Adventure Works HDTV LCD 1080 p de 37 pulgadas M150W Blanco,Adventure Works,Adventure Works,Normal,Blanco,Alto,505.85,1099.99,2009-01-25,Activad
160,201045,Adventure Works HDTV LCD 1080 p de 37 pulgadas M150W Marrón,Adventure Works,Adventure Works,Normal,Marrón,Alto,505.85,1099.99,2009-01-25,Activad
161,201046,Adventure Works HDTV LCD de 52 pulgadas X790W Plata,Adventure Works,Adventure Works,Deluxe,Plata,Alto,527.53,1592.2,2008-05-12,Activad
162,201047,Adventure Works HDTV LCD de 52 pulgadas X790W Negro,Adventure Works,Adventure Works,Deluxe,Negro,Alto,527.53,1592.2,2008-05-12,Activad
163,201048,Adventure Works HDTV LCD de 52 pulgadas X790W Blanco,Adventure Works,Adventure Works,Deluxe,Blanco,Alto,527.53,1592.2,2008-05-12,Activad
164,201049,Adventure Works HDTV LCD de 52 pulgadas X790W Marrón,Adventure Works,Adventure Works,Deluxe,Marrón,Alto,527.53,1592.2,2008-05-12,Activad
165,201050,Adventure Works HDTV LCD de 42 pulgadas M55 Negro,Adventure Works,Adventure Works,Normal,Negro,Alto,389.26,763.51,2005-07-07,Activad
166,202001,SV DVD 16x M300 Negro,Southridge Video,Southridge Video,Normal,Negro,Alto,54.72,119.0,2009-07-02,Activad
167,202002,SV DVD 8x E100 Negro,Southridge Video,Southridge Video,Economía,Negro,Alto,35.18,69.0,2005-11-18,Activad
168,202003,SV DVD 16x M310 Negro,Southridge Video,Southridge Video,Normal,Negro,Alto,59.32,129.0,2007-09-20,Activad
